Country﻿,Urban Population,% of urban population in largest city
Afghanistan,"10,946.80",40.7
Albania,"1,772.10",28.9
Algeria,"33,575.00",8.5
American Samoa,38.6,..
Andorra,70.1,..
Angola,"24,229.30",36.9
Antigua and Barbuda,22.8,..
Argentina,"42,696.50",36
Armenia,"1,767.60",61.8
Aruba,46.9,..
Australia,"22,499.30",22.9
Austria,"5,357.80",36.6
Azerbaijan,"5,798.00",41.4
"Bahamas, The",342.3,..
Bahrain,"1,321.20",52.1
Bangladesh,"67,979.80",33.1
Barbados,88.2,..
Belarus,"7,412.50",27.6
Belgium,"11,470.00",18.4
Belize,188,..
Benin,"6,614.20",18
Bermuda,63.6,..
Bhutan,341.8,..
Bolivia,"8,658.30",22
Bosnia and Herzegovina,"1,611.60",21.4
Botswana,"1,899.70",..
Brazil,"188,517.70",11.9
British Virgin Islands,15.4,..
Brunei Darussalam,354.1,..
Bulgaria,"4,936.90",26.1
Burkina Faso,"7,227.70",42.3
Burundi,"1,858.30",61.3
Cabo Verde,400.6,..
Cambodia,"4,211.10",52.5
Cameroon,"16,395.00",26.5
Canada,"31,833.50",19.8
Cayman Islands,68.7,..
Central African Republic,"2,405.70",38.8
Chad,"4,264.80",35.9
Channel Islands,54.1,..
Chile,"17,234.00",39.8
China,"897,578.40",3.2
Colombia,"42,562.60",26.7
Comoros,249.9,..
"Congo, Dem. Rep.","46,373.40",33.7
"Congo, Rep.","4,103.80",62.2
Costa Rica,"4,250.50",33.9
Cote d'Ivoire,"14,829.60",37.2
Croatia,"2,244.70",30.5
Cuba,"8,678.30",24.7
Curacao,133.5,..
Cyprus,837.4,..
Czechia,"7,937.60",16.6
Denmark,"5,216.30",26.3
Djibouti,878.5,67.3
Dominica,52.2,..
Dominican Republic,"9,415.10",36.7
Ecuador,"11,623.20",26.6
"Egypt, Arab Rep.","47,689.10",45.6
El Salvador,"4,737.50",23.4
Equatorial Guinea,"1,239.60",36.7
Eritrea,"1,570.30",65.9
Estonia,938.9,48.1
Eswatini,295.3,..
Ethiopia,"27,959.10",18.7
Faroe Islands,22.7,..
Fiji,541.4,..
Finland,"4,760.50",27.9
France,"55,402.70",20.1
French Polynesia,190.4,..
Gabon,"2,167.70",39.5
"Gambia, The","1,727.80",27.2
Georgia,"2,238.50",48.3
Germany,"65,067.50",5.5
Ghana,"19,621.90",18.5
Gibraltar,32.6,..
Greece,"8,378.80",37.6
Greenland,49.7,..
Grenada,46.2,..
Guam,163.3,..
Guatemala,"9,141.70",33.2
Guinea,"5,220.50",39.2
Guinea-Bissau,948.4,67.8
Guyana,218.5,..
Haiti,"6,814.30",42.8
Honduras,"6,218.00",24.6
"Hong Kong SAR, China","7,346.10",100
Hungary,"6,996.20",25.4
Iceland,359.1,..
India,"508,368.40",6.3
Indonesia,"159,608.90",6.9
"Iran, Islamic Rep.","68,013.00",13.8
Iraq,"31,749.80",23.7
Ireland,"3,290.80",38.2
Isle of Man,45,..
Israel,"8,865.80",49
Italy,"42,234.90",10.2
Jamaica,"1,611.80",36.9
Japan,"115,058.70",32.4
Jordan,"10,363.50",21.3
Kazakhstan,"11,386.30",17.2
Kenya,"15,669.10",32.7
Kiribati,74.9,..
"Korea, Dem. People's Rep.","16,401.80",19.1
"Korea, Rep.","42,075.40",23.7
Kosovo,..,..
Kuwait,"4,268.90",75.9
Kyrgyz Republic,"2,612.90",41.4
Lao PDR,"2,830.50",25
Latvia,"1,288.10",48.5
Lebanon,"4,900.30",49.7
Lesotho,690.4,..
Liberia,"2,813.90",57.7
Libya,"5,538.60",21.2
Liechtenstein,5.7,..
Lithuania,"1,938.70",27.9
Luxembourg,600.1,..
"Macao SAR, China",695.2,96.6
Madagascar,"11,809.70",31.3
Malawi,"3,668.90",33.3
Malaysia,"26,544.40",31.7
Maldives,217.6,..
Mali,"10,265.80",27.4
Malta,503.9,..
Marshall Islands,32.6,..
Mauritania,"2,696.00",53.1
Mauritius,515.2,..
Mexico,"103,660.90",21.3
"Micronesia, Fed. Sts.",26.5,..
Moldova,"1,096.10",44.8
Monaco,36.5,..
Mongolia,"2,342.50",70.2
Montenegro,420.7,..
Morocco,"24,196.40",15.9
Mozambique,"12,590.10",14.3
Myanmar,"17,213.30",32
Namibia,"1,385.10",33.3
Nauru,12.7,..
Nepal,"6,552.80",23.2
Netherlands,"16,441.70",7.1
New Caledonia,194.7,..
New Zealand,"4,446.00",37.2
Nicaragua,"4,138.20",26.2
Niger,"4,427.60",31.3
Nigeria,"116,965.40",13.2
North Macedonia,"1,082.90",56
Northern Mariana Islands,45.6,..
Norway,"4,565.70",23.5
Oman,"4,015.70",40.4
Pakistan,"88,979.10",18.9
Palau,14.8,..
Panama,"3,048.10",63.6
Papua New Guinea,"1,377.60",29
Paraguay,"4,259.50",81
Peru,"26,799.80",41.2
Philippines,"55,441.70",26
Poland,"22,142.40",8.1
Portugal,"7,014.20",42.6
Puerto Rico,"3,014.30",81
Qatar,"2,676.70",29.1
Romania,"10,378.50",17.2
Russian Federation,"108,359.40",11.7
Rwanda,"2,441.40",49.5
Samoa,39.2,..
San Marino,32.9,..
Sao Tome and Principe,172.3,..
Saudi Arabia,"30,848.80",24.4
Senegal,"8,500.00",39.1
Serbia,"3,790.30",37.1
Seychelles,70,..
Sierra Leone,"3,772.00",33.7
Singapore,"5,637.00",100
Sint Maarten (Dutch part),40.9,..
Slovak Republic,"2,928.20",15
Slovenia,"1,177.50",..
Solomon Islands,185.3,..
Somalia,"8,327.80",30
South Africa,"40,928.50",14.8
South Sudan,"2,275.00",19.3
Spain,"38,845.70",17.3
Sri Lanka,"4,220.20",14.8
St. Kitts and Nevis,14.8,..
St. Lucia,34.3,..
St. Martin (French part),..,..
St. Vincent and the Grenadines,56,..
Sudan,"16,854.10",36.6
Suriname,409.8,..
Sweden,"9,280.10",18.1
Switzerland,"6,502.10",21.8
Syrian Arab Republic,"12,560.30",19.9
Tajikistan,"2,783.60",34.6
Tanzania,"24,025.90",30.8
Thailand,"37,919.80",28.7
Timor-Leste,430.2,..
Togo,"3,886.40",49.5
Tonga,24.7,..
Trinidad and Tobago,816.7,66.7
Tunisia,"8,675.70",28.1
Turkiye,"65,453.20",23.9
Turkmenistan,"3,440.10",25.7
Turks and Caicos Islands,43,..
Tuvalu,7.4,..
Uganda,"12,360.00",29.5
Ukraine,"26,569.20",11.3
United Arab Emirates,"8,265.00",35.9
United Kingdom,"57,214.20",16.7
United States,"276,895.20",6.8
Uruguay,"3,275.20",54
Uzbekistan,"17,990.20",14.3
Vanuatu,84.4,..
"Venezuela, RB","25,012.50",11.8
Viet Nam,"38,063.10",23.8
Virgin Islands (U.S.),101.3,..
West Bank and Gaza,"3,898.30",19.4
"Yemen, Rep.","13,205.00",24.1
Zambia,"9,160.30",33.2
Zimbabwe,"5,287.00",29.5
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
