,Land area (sq. km),Forest area (% of land area)
Afghanistan,"652,230.00",1.85
Albania,"27,400.00",28.79
Algeria,"2,381,741.00",0.82
American Samoa,200,85.5
Andorra,470,34.04
Angola,"1,246,700.00",52.98
Antigua and Barbuda,440,18.3
Argentina,"2,736,690.00",10.4
Armenia,"28,470.00",11.53
Aruba,180,2.33
Australia,"7,692,020.00",17.42
Austria,"82,520.00",47.29
Azerbaijan,"82,650.00",13.83
"Bahamas, The","10,010.00",50.94
Bahrain,790,0.91
Bangladesh,"130,170.00",14.47
Barbados,430,14.65
Belarus,"202,950.00",43.27
Belgium,"30,280.00",22.76
Belize,"22,810.00",55.5
Benin,"112,760.00",27.36
Bermuda,54,18.52
Bhutan,"38,140.00",71.5
Bolivia,"1,083,300.00",46.73
Bosnia and Herzegovina,"51,200.00",42.73
Botswana,"566,730.00",26.71
Brazil,"8,358,140.00",59.27
British Virgin Islands,150,24.13
Brunei Darussalam,"5,270.00",72.11
Bulgaria,"108,560.00",35.98
Burkina Faso,"273,600.00",22.54
Burundi,"25,680.00",10.89
Cabo Verde,"4,030.00",11.42
Cambodia,"176,520.00",44.83
Cameroon,"472,710.00",42.91
Canada,"8,788,700.00",39.47
Cayman Islands,240,52.75
Central African Republic,"622,980.00",35.75
Chad,"1,259,200.00",3.34
Channel Islands,198,5.15
Chile,"743,532.00",24.66
China,"9,388,210.00",23.63
"Hong Kong SAR, China","1,050.00",..
"Macao SAR, China",33,..
Colombia,"1,109,500.00",53.13
Comoros,"1,861.00",17.45
"Congo, Dem. Rep.","2,267,050.00",55.16
"Congo, Rep.","341,500.00",64.22
Costa Rica,"51,060.00",59.76
Cote d'Ivoire,"318,000.00",8.57
Croatia,"55,960.00",34.7
Cuba,"103,800.00",31.23
Curacao,444,0.16
Cyprus,"9,240.00",18.67
Czechia,"77,186.83",34.71
Denmark,"40,000.00",15.73
Djibouti,"23,180.00",0.25
Dominica,750,63.83
Dominican Republic,"47,531.00",45.28
Ecuador,"248,360.00",50.06
"Egypt, Arab Rep.","995,450.00",0.05
El Salvador,"20,720.00",27.96
Equatorial Guinea,"28,050.00",86.99
Eritrea,"121,040.83",8.69
Estonia,"42,750.00",57.04
Eswatini,"17,200.00",29
Ethiopia,"1,128,571.27",15.06
Faroe Islands,"1,370.00",0.06
Fiji,"18,270.00",62.76
Finland,"303,947.70",73.73
France,"547,557.00",31.66
French Polynesia,"3,471.00",43.06
Gabon,"257,670.00",91.27
"Gambia, The","10,120.00",23.41
Georgia,"69,490.00",40.62
Germany,"349,390.00",32.68
Ghana,"227,533.00",35.13
Gibraltar,10,0
Greece,"128,900.00",30.27
Greenland,"410,450.00",0
Grenada,340,52.06
Guam,540,51.85
Guatemala,"107,160.00",32.81
Guinea,"245,720.00",25.02
Guinea-Bissau,"28,120.00",70.11
Guyana,"196,850.00",93.5
Haiti,"27,560.00",12.49
Honduras,"111,890.00",56.65
Hungary,"91,260.00",22.48
Iceland,"100,830.00",0.52
India,"2,973,190.00",24.36
Indonesia,"1,892,555.47",48.36
"Iran, Islamic Rep.","1,622,500.00",6.64
Iraq,"434,128.00",1.9
Ireland,"68,890.00",11.41
Isle of Man,570,6.07
Israel,"21,640.00",6.47
Italy,"295,717.00",32.53
Jamaica,"10,830.00",55.47
Japan,"364,500.00",68.41
Jordan,"88,794.00",1.1
Kazakhstan,"2,699,700.00",1.29
Kenya,"569,140.00",6.34
Kiribati,810,1.46
"Korea, Dem. People's Rep.","120,410.00",49.9
"Korea, Rep.","97,600.00",64.31
Kosovo,..,..
Kuwait,"17,820.00",0.35
Kyrgyz Republic,"191,800.00",6.95
Lao PDR,"230,800.00",71.75
Latvia,"62,230.00",54.87
Lebanon,"10,230.00",14.07
Lesotho,"30,360.00",1.14
Liberia,"96,320.00",78.77
Libya,"1,759,540.00",0.12
Liechtenstein,160,41.88
Lithuania,"62,610.00",35.18
Luxembourg,"2,574.46",34.45
Madagascar,"581,800.00",21.34
Malawi,"94,280.00",23.33
Malaysia,"328,550.00",58.02
Maldives,300,2.73
Mali,"1,220,190.00",10.9
Malta,320,1.44
