ID,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,temperature,weather_description,Traffic_Level,Distance (km),Delivery Duration
4607,4.9,Snack,motorcycle,17.11,haze,Low,,21.67
B379,4.5,Snack,scooter,19.5,mist,Very High,37.17,85.27
5D6D,4.4,Drinks,motorcycle,20.45,mist,Low,3.34,28.58
7A6A,4.7,Buffet,motorcycle,23.86,mist,Moderate,10.05,35.18
70A2,4.6,Snack,scooter,26.55,mist,High,9.89,43.45
9BB4,4.8,Buffet,motorcycle,21.43,broken clouds,Moderate,11.3,30.6
95B4,4.7,Meal,scooter,17.51,clear sky,High,19.11,38.17
9EB2,4.6,Meal,motorcycle,18.03,scattered clouds,Very High,28.41,50.0
1102,4.8,Buffet,motorcycle,21.08,broken clouds,Very High,31.62,81.78
CDCD,4.2,Snack,motorcycle,12.44,clear sky,High,11.59,36.37
D987,4.7,Meal,motorcycle,23.95,mist,Moderate,7.57,25.1
2784,4.7,Drinks,scooter,19.37,clear sky,High,21.93,49.45
C8B6,4.3,Buffet,motorcycle,19.14,clear sky,Low,3.98,17.5
DB64,4.7,Snack,scooter,19.99,clear sky,Very High,24.5,56.17
3AF3,4.5,Buffet,electric_scooter,24.74,clear sky,Very High,22.0,54.32
3AAB,4.0,Meal,scooter,17.97,scattered clouds,Moderate,10.51,29.45
689B,4.2,Snack,motorcycle,18.61,clear sky,Very High,23.61,55.85
6F67,4.9,Snack,motorcycle,21.29,overcast clouds,High,18.26,52.48
C9CF,4.7,Meal,motorcycle,22.99,haze,Moderate,8.07,31.73
36B8,4.1,Snack,motorcycle,19.17,clear sky,Very High,23.53,50.45
5795,4.7,Meal,electric_scooter,17.85,clear sky,Very High,22.26,49.27
6C6B,5.0,Snack,motorcycle,23.93,mist,Very Low,2.07,13.27
B816,4.3,Meal,scooter,26.45,scattered clouds,Very High,27.52,101.0
539B,4.0,Buffet,motorcycle,24.51,clear sky,High,8.97,34.62
A1B2,4.5,Meal,electric_scooter,26.46,scattered clouds,Very High,24.31,79.67
3231,5.0,Snack,motorcycle,19.44,haze,Low,6.05,19.65
8BC0,4.3,Drinks,scooter,22.92,clear sky,High,16.08,44.17
2288,4.0,Buffet,motorcycle,19.89,mist,Very High,17.37,57.93
3C5E,4.8,Buffet,electric_scooter,19.21,clear sky,Very High,19.87,54.77
3.00E+60,4.8,Drinks,motorcycle,23.86,mist,Moderate,6.61,34.22
BFF,4.1,Drinks,motorcycle,23.26,clear sky,Moderate,10.6,32.08
D936,4.3,Buffet,motorcycle,24.66,scattered clouds,Moderate,12.29,34.78
D681,4.9,Drinks,scooter,24.8,scattered clouds,Moderate,9.26,34.92
30C8,4.6,Drinks,scooter,19.15,clear sky,High,26.35,54.38
B843,4.9,Snack,motorcycle,18.97,clear sky,High,17.24,47.47
B3A0,4.7,Snack,scooter,18.93,clear sky,Low,8.31,23.13
6531,4.8,Meal,scooter,23.6,clear sky,Very Low,2.23,7.52
4BDA,5.0,Snack,scooter,21.28,broken clouds,Low,5.75,22.03
9D26,4.9,Buffet,scooter,20.04,mist,Low,4.17,24.13
9B18,4.8,Snack,motorcycle,19.7,mist,High,12.08,47.28
5D99,4.3,Snack,motorcycle,26.4,scattered clouds,Very High,15.31,73.45
4F0,4.6,Drinks,scooter,24.42,clear sky,High,19.19,46.25
B796,4.7,Snack,motorcycle,22.97,clear sky,Very High,20.14,51.85
85B4,4.6,Snack,scooter,23.99,clear sky,Very High,31.21,74.87
C644,4.9,Snack,scooter,22.99,haze,Low,5.32,24.87
6999,4.9,Drinks,electric_scooter,24.96,clear sky,High,13.2,40.62
63B6,4.9,Drinks,scooter,19.84,mist,High,11.37,44.18
A30B,4.8,Drinks,motorcycle,26.14,mist,High,8.68,46.45
3556,5.0,Snack,scooter,23.61,clear sky,Very Low,1.82,9.85
5554,4.9,Snack,motorcycle,17.72,clear sky,Moderate,8.81,32.62
25FD,4.8,Drinks,scooter,19.91,mist,Very High,26.36,80.75
7AC8,4.8,Drinks,motorcycle,23.97,mist,High,15.83,50.35
3DA1,4.7,Snack,motorcycle,23.01,clear sky,Moderate,11.3,31.72
272D,4.7,Buffet,motorcycle,24.04,mist,High,19.07,49.72
DDC5,4.6,Snack,motorcycle,21.69,clear sky,Very High,18.94,52.25
B002,4.5,Buffet,scooter,19.63,haze,Very Low,1.78,11.87
8AA2,4.8,Drinks,scooter,18.74,haze,Very High,21.14,65.18
B55A,4.9,Drinks,scooter,18.17,broken clouds,Low,6.08,27.55
73CC,4.4,Drinks,scooter,22.83,clear sky,High,14.97,42.3
BE80,5.0,Buffet,motorcycle,22.86,clear sky,Very High,35.56,85.83
1609,4.9,Drinks,scooter,19.2,clear sky,Moderate,8.72,35.33
D255,4.8,Meal,electric_scooter,22.2,clear sky,Low,4.76,15.52
DE72,4.9,Meal,motorcycle,13.45,clear sky,Very High,14.69,51.23
8B53,4.7,Buffet,scooter,23.45,clear sky,Low,7.88,19.65
BBDE,4.6,Meal,scooter,23.1,clear sky,Low,7.0,17.37
A9F,4.6,Drinks,scooter,20.21,mist,High,11.19,45.48
4B7F,4.7,Buffet,motorcycle,21.4,broken clouds,High,15.46,45.58
B962,4.1,Buffet,motorcycle,26.39,scattered clouds,Very High,23.37,78.68
633C,4.6,Drinks,scooter,19.9,mist,Very High,17.63,69.0
2DC6,4.7,Drinks,electric_scooter,19.01,haze,Low,8.12,25.52
903A,4.7,Snack,scooter,19.74,mist,Very High,21.83,68.68
1FB7,4.4,Snack,scooter,26.36,scattered clouds,Very High,26.35,65.77
34D7,4.7,Meal,motorcycle,22.86,clear sky,Very High,35.56,83.0
156B,5.0,Buffet,motorcycle,19.7,haze,Low,3.98,19.43
56AD,4.6,Buffet,motorcycle,21.27,broken clouds,High,12.62,36.37
837C,4.8,Meal,motorcycle,19.23,clear sky,Moderate,9.82,26.6
CBC4,4.8,Snack,scooter,24.51,broken clouds,Moderate,8.48,31.33
C19E,4.6,Buffet,motorcycle,16.17,mist,High,15.46,40.22
1D60,5.0,Drinks,motorcycle,20.3,mist,Low,2.41,23.15
95FB,4.2,Meal,motorcycle,21.13,overcast clouds,Very High,24.67,64.9
8195,4.6,Drinks,motorcycle,17.67,clear sky,Low,3.05,24.33
6D19,4.9,Drinks,scooter,17.11,haze,Low,4.46,23.38
3.50E+07,4.8,Buffet,electric_scooter,19.97,haze,High,17.59,47.92
B437,5.0,Meal,motorcycle,22.88,clear sky,Very High,24.59,47.97
9.70E+04,5.0,Drinks,motorcycle,18.28,scattered clouds,High,13.43,48.2
A3E0,4.7,Drinks,electric_scooter,26.84,smoke,Very High,22.46,62.17
4161,4.7,Snack,motorcycle,25.06,mist,Moderate,9.16,30.37
1236,4.4,Meal,scooter,18.36,broken clouds,Moderate,8.86,25.98
2558,4.8,Snack,motorcycle,19.22,clear sky,Very High,26.41,66.83
3185,4.8,Snack,scooter,21.29,broken clouds,Low,6.78,24.75
3C57,4.8,Meal,motorcycle,27.05,clear sky,Very High,42.54,93.42
4863,4.6,Snack,motorcycle,24.86,mist,Low,2.57,18.75
6757,4.3,Meal,motorcycle,17.08,haze,Low,4.04,16.25
22AD,4.6,Buffet,motorcycle,19.22,fog,High,18.4,46.82
9F99,4.8,Snack,scooter,27.03,smoke,High,19.59,52.82
6781,4.3,Drinks,scooter,18.4,broken clouds,Very High,29.59,60.57
1B8D,4.7,Snack,scooter,23.39,clear sky,Very Low,4.15,14.43
1AEA,4.2,Snack,motorcycle,25.15,mist,Very High,26.96,58.5
1.00E+42,4.6,Drinks,motorcycle,22.85,clear sky,High,21.81,52.32
DDC8,4.7,Meal,scooter,21.81,clear sky,High,9.52,33.3
24AC,4.6,Snack,motorcycle,22.88,clear sky,High,16.35,40.8
3F01,3.8,Drinks,motorcycle,27.04,clear sky,Very High,25.68,70.42
628C,4.8,Snack,scooter,19.58,mist,High,16.6,45.73
6C38,4.8,Buffet,electric_scooter,17.84,clear sky,High,11.34,41.43
4BEB,4.8,Drinks,motorcycle,18.05,broken clouds,Very Low,3.09,17.67
8339,4.9,Drinks,motorcycle,17.58,clear sky,High,15.03,46.02
3EC5,4.9,Meal,motorcycle,17.41,clear sky,High,18.92,35.45
ADB4,4.6,Drinks,motorcycle,19.58,haze,Moderate,6.14,35.7
6.00E+02,4.6,Snack,electric_scooter,22.47,clear sky,High,20.29,44.28
2BC0,4.2,Snack,scooter,17.32,clear sky,High,24.35,49.12
9.90E+08,4.8,Meal,scooter,24.83,mist,Moderate,8.81,31.22
39EF,4.9,Drinks,motorcycle,26.14,mist,High,8.68,46.63
E264,4.5,Drinks,scooter,21.8,clear sky,Moderate,12.15,38.98
BD03,4.9,Meal,scooter,25.15,mist,Very High,26.96,54.5
9A29,4.7,Snack,scooter,17.88,clear sky,High,19.03,45.32
D0E5,4.6,Drinks,motorcycle,23.03,haze,Moderate,8.33,32.65
A480,4.6,Drinks,motorcycle,19.74,mist,Very High,19.35,64.63
B46C,4.7,Snack,scooter,27.01,smoke,Moderate,11.14,39.17
7150,5.0,Meal,scooter,23.91,clear sky,Very Low,2.41,6.98
1.00E+58,4.6,Snack,motorcycle,22.74,clear sky,Moderate,11.07,25.55
4460,4.9,Snack,motorcycle,19.26,clear sky,Low,5.3,23.52
977D,4.7,Buffet,motorcycle,17.11,haze,Low,4.38,19.43
1602,4.9,Drinks,motorcycle,19.9,mist,Very High,17.63,68.98
894E,4.8,Drinks,motorcycle,19.64,mist,Very High,11.56,61.65
655,4.4,Snack,motorcycle,21.27,broken clouds,Very Low,3.09,15.28
20F6,4.6,Buffet,motorcycle,19.89,mist,Very High,17.29,60.43
3DB1,4.3,Snack,motorcycle,24.96,mist,Moderate,11.45,33.38
1EC7,4.6,Snack,scooter,19.23,clear sky,Low,6.28,22.28
8ED2,5.0,Snack,motorcycle,22.68,clear sky,Moderate,12.93,30.25
64CC,4.2,Meal,motorcycle,26.47,broken clouds,Very High,25.39,97.83
2ED0,4.1,Meal,scooter,21.32,broken clouds,Moderate,11.67,30.7
4008,4.6,Meal,electric_scooter,22.9,clear sky,High,14.52,33.15
7553,4.6,Snack,scooter,23.1,clear sky,Low,6.71,20.13
35D8,4.9,Buffet,motorcycle,24.82,mist,Moderate,6.76,28.55
4C88,3.9,Buffet,scooter,26.77,smoke,Very High,17.15,54.18
81A5,4.4,Buffet,motorcycle,19.5,mist,High,13.6,43.22
AE56,4.6,Snack,motorcycle,25.15,mist,High,21.28,50.13
9B79,4.8,Snack,motorcycle,17.9,scattered clouds,Moderate,8.67,29.88
596A,4.7,Drinks,motorcycle,25.02,mist,High,15.95,45.43
78AA,5.0,Meal,motorcycle,18.12,scattered clouds,High,26.21,39.33
D7EC,4.3,Buffet,motorcycle,22.99,haze,Moderate,12.74,30.98
55B1,4.8,Drinks,motorcycle,25.02,mist,Very High,24.44,63.98
8.70E+05,4.0,Meal,motorcycle,22.48,clear sky,High,18.92,31.73
82C3,4.8,Drinks,scooter,17.58,clear sky,High,14.99,45.43
5397,4.4,Buffet,motorcycle,19.01,clear sky,High,15.81,37.75
876B,4.9,Buffet,motorcycle,22.99,clear sky,Low,8.39,22.18
3A5A,4.9,Snack,scooter,17.08,haze,High,13.69,36.3
5631,4.8,Meal,motorcycle,21.25,broken clouds,Very High,25.62,53.95
1DAC,4.5,Drinks,electric_scooter,26.38,scattered clouds,Very High,22.01,81.12
DE01,4.7,Snack,motorcycle,23.9,mist,High,15.77,44.82
8771,4.3,Drinks,motorcycle,22.63,clear sky,High,16.42,40.93
3645,4.5,Drinks,scooter,26.24,mist,Very Low,2.08,21.9
1FF1,4.7,Buffet,scooter,18.17,broken clouds,Low,6.08,20.55
4A3C,5.0,Meal,motorcycle,26.95,smoke,Low,2.71,18.58
6CC6,4.5,Snack,scooter,19.8,haze,Very High,16.38,51.87
C141,4.7,Meal,motorcycle,22.03,clear sky,High,16.02,34.88
690F,4.6,Snack,motorcycle,17.54,clear sky,High,18.5,40.68
B4BA,4.9,Meal,scooter,21.29,broken clouds,High,10.7,32.2
63A9,4.8,Buffet,scooter,18.98,clear sky,Moderate,11.91,32.0
88DD,4.7,Buffet,motorcycle,18.34,broken clouds,Low,8.87,22.9
1B58,4.6,Drinks,motorcycle,19.83,haze,High,12.55,42.82
87A8,4.6,Meal,motorcycle,18.08,scattered clouds,Moderate,11.18,28.22
3F8D,4.8,Snack,motorcycle,26.83,smoke,High,11.65,51.58
290C,4.9,Drinks,motorcycle,18.42,scattered clouds,Moderate,14.28,34.13
7ECE,4.7,Buffet,motorcycle,17.84,clear sky,High,12.97,47.17
1365,3.9,Meal,motorcycle,17.19,haze,High,16.78,34.9
33A4,4.7,Drinks,motorcycle,26.52,mist,Low,4.84,29.17
8F3C,4.7,Snack,motorcycle,20.2,haze,Very Low,3.82,15.43
2FE1,4.6,Snack,scooter,23.57,clear sky,Low,5.83,18.63
4B5B,4.3,Meal,motorcycle,18.43,broken clouds,High,19.64,40.68
7405,4.9,Buffet,motorcycle,23.05,clear sky,High,14.03,33.5
6245,4.0,Buffet,motorcycle,21.05,broken clouds,Moderate,7.93,30.12
D02B,4.1,Meal,motorcycle,21.74,clear sky,High,18.1,44.13
1F0E,4.9,Drinks,motorcycle,18.22,broken clouds,High,14.53,42.67
7085,4.7,Meal,motorcycle,19.61,haze,Low,3.02,14.93
57FA,4.7,Meal,electric_scooter,26.36,mist,Very High,15.39,63.33
57FC,4.5,Meal,motorcycle,18.32,broken clouds,Moderate,9.21,25.57
7A1F,4.6,Snack,motorcycle,19.37,clear sky,High,21.48,43.23
CEAC,5.0,Buffet,motorcycle,22.98,haze,High,15.08,40.92
A0A5,4.8,Snack,motorcycle,19.73,mist,High,13.71,47.9
892D,5.0,Snack,scooter,22.88,clear sky,High,15.2,38.77
6118,4.9,Snack,motorcycle,17.27,clear sky,High,22.02,41.1
46FD,4.8,Meal,motorcycle,19.08,clear sky,High,13.9,39.48
5134,4.7,Snack,motorcycle,17.69,clear sky,Low,4.57,16.83
D418,4.9,Meal,scooter,18.88,clear sky,Moderate,6.07,22.08
256C,4.3,Meal,motorcycle,17.99,scattered clouds,Low,4.56,17.7
6055,4.0,Snack,motorcycle,18.74,haze,Very High,21.14,60.22
7BFB,4.5,Snack,motorcycle,24.94,mist,Low,5.35,22.67
7220,3.9,Drinks,electric_scooter,22.55,clear sky,Moderate,15.84,39.22
1568,4.8,Snack,motorcycle,19.55,mist,Very High,18.21,54.18
41EA,4.7,Buffet,scooter,18.17,broken clouds,Moderate,9.91,24.47
1C60,4.7,Buffet,electric_scooter,18.05,scattered clouds,Very Low,2.66,12.68
7944,5.0,Drinks,motorcycle,26.31,scattered clouds,Very High,13.96,63.27
77EE,4.5,Drinks,scooter,21.43,broken clouds,High,9.43,41.55
2192,4.1,Buffet,motorcycle,19.5,mist,High,12.76,42.65
48C7,4.7,Drinks,motorcycle,26.47,mist,Moderate,9.27,41.78
78BF,4.4,Meal,motorcycle,19.03,fog,Very High,23.97,52.85
4321,4.8,Drinks,electric_scooter,19.98,haze,High,18.08,48.98
E00D,4.6,Meal,scooter,22.21,clear sky,Low,6.78,19.85
1.00E+86,4.9,Meal,scooter,19.94,clear sky,Very High,28.39,55.83
CFF0,5.0,Meal,motorcycle,23.92,mist,Very Low,1.98,9.97
1E2D,4.7,Snack,motorcycle,20.21,mist,High,11.19,40.48
D072,4.9,Snack,motorcycle,24.77,broken clouds,Low,7.86,24.03
427B,4.9,Meal,motorcycle,21.23,broken clouds,Very High,22.07,57.28
5.20E+03,4.8,Buffet,motorcycle,20.12,haze,High,37.48,48.37
9395,4.4,Snack,motorcycle,20.0,clear sky,Very High,24.22,59.3
B5D2,4.7,Meal,motorcycle,19.72,clear sky,Very High,29.0,60.3
6C4D,4.6,Buffet,scooter,22.47,clear sky,High,21.29,42.5
98CA,4.7,Buffet,electric_scooter,19.4,mist,Moderate,8.64,35.2
644B,4.0,Snack,motorcycle,25.73,smoke,Very High,30.57,74.87
7A2D,4.6,Buffet,motorcycle,21.23,overcast clouds,Very High,19.45,51.83
E13F,4.6,Buffet,motorcycle,21.81,clear sky,Low,4.24,17.28
C278,4.8,Drinks,motorcycle,15.93,mist,Very High,28.18,73.33
5912,4.7,Drinks,scooter,19.22,clear sky,Very Low,1.57,14.4
AB33,4.9,Drinks,scooter,19.64,mist,Very High,18.25,65.25
DD96,4.8,Meal,scooter,21.73,clear sky,High,15.4,37.45
7646,4.8,Snack,motorcycle,20.01,mist,Very High,16.28,58.62
5EF5,4.5,Drinks,motorcycle,17.3,clear sky,Very High,26.88,59.57
7EF7,4.5,Buffet,motorcycle,24.95,mist,High,17.3,44.9
1136,4.6,Drinks,motorcycle,21.25,broken clouds,Moderate,8.95,36.2
D032,4.8,Buffet,motorcycle,21.61,clear sky,Moderate,20.32,28.43
199D,4.0,Buffet,motorcycle,24.81,mist,Moderate,9.67,34.77
CF18,4.7,Buffet,motorcycle,22.27,clear sky,Moderate,6.82,23.43
1DAD,4.8,Snack,motorcycle,26.3,clear sky,Low,2.15,16.02
C918,5.0,Snack,motorcycle,17.15,mist,High,16.62,52.43
33C1,4.7,Meal,motorcycle,25.49,smoke,Very High,17.73,52.17
1B50,4.6,Buffet,motorcycle,19.35,clear sky,Very High,25.7,61.88
27FE,4.8,Buffet,motorcycle,26.11,mist,Moderate,5.21,30.6
1536,4.9,Drinks,motorcycle,21.27,broken clouds,Moderate,9.45,33.35
A152,4.9,Snack,scooter,23.12,clear sky,Moderate,12.47,32.83
9C9A,4.4,Meal,motorcycle,25.0,mist,Moderate,13.17,31.8
3052,4.6,Snack,motorcycle,22.74,clear sky,Moderate,11.93,26.3
1045,4.9,Buffet,motorcycle,24.8,mist,Moderate,7.95,31.78
2391,4.5,Buffet,scooter,17.25,clear sky,High,19.0,36.1
7DDD,4.2,Drinks,motorcycle,17.25,clear sky,High,18.76,43.88
279F,4.2,Buffet,motorcycle,26.63,clear sky,Very High,22.94,55.65
E76,4.6,Snack,scooter,26.44,mist,Very High,16.06,67.73
AEFA,4.5,Snack,motorcycle,19.52,mist,Moderate,6.82,34.02
DAD6,4.7,Buffet,scooter,21.28,clear sky,Very High,32.49,51.57
C237,4.7,Meal,scooter,21.81,clear sky,Moderate,8.52,29.92
4EFC,4.8,Drinks,motorcycle,19.01,haze,Low,8.57,26.98
6.00E+33,4.9,Snack,scooter,22.74,clear sky,Moderate,13.47,32.33
D92F,4.9,Buffet,motorcycle,21.71,clear sky,High,15.29,39.83
D902,4.4,Drinks,motorcycle,23.95,mist,High,21.08,56.25
D91A,4.9,Snack,motorcycle,18.74,clear sky,Very High,23.0,68.0
4F0C,4.7,Meal,scooter,25.15,mist,Very High,24.96,55.83
8456,4.7,Snack,scooter,26.47,broken clouds,Very High,25.39,100.65
3329,4.7,Buffet,motorcycle,24.81,mist,Moderate,9.67,34.77
1AA8,4.8,Snack,motorcycle,22.83,clear sky,Very High,24.01,52.4
144D,4.8,Drinks,motorcycle,17.12,haze,Low,4.37,22.87
D27B,4.5,Meal,motorcycle,17.01,mist,Very High,28.55,72.22
ADD6,4.9,Buffet,motorcycle,26.46,scattered clouds,Very High,24.31,81.75
7C60,4.1,Buffet,motorcycle,20.26,mist,Very Low,2.13,15.62
C63E,4.3,Meal,scooter,12.44,clear sky,High,15.87,45.23
7B03,4.5,Buffet,motorcycle,19.5,mist,High,12.76,42.87
4314,4.9,Buffet,motorcycle,26.42,broken clouds,Very High,15.96,63.85
9E5A,4.5,Meal,scooter,19.05,haze,Very High,14.92,51.43
70B1,4.4,Buffet,motorcycle,22.47,clear sky,High,20.94,40.62
5.90E+06,4.5,Buffet,motorcycle,23.05,clear sky,Moderate,10.18,23.87
DEAC,4.9,Snack,electric_scooter,18.68,clear sky,Very High,19.81,61.05
A053,3.8,Snack,motorcycle,20.0,clear sky,Very High,24.64,62.43
7031,4.9,Snack,scooter,24.84,mist,Moderate,7.68,31.93
D3BC,4.4,Drinks,motorcycle,21.53,clear sky,Moderate,20.3,39.07
8DE9,4.9,Buffet,scooter,22.92,clear sky,High,16.07,36.52
7C84,4.9,Meal,electric_scooter,19.7,haze,Moderate,5.86,22.03
96D2,4.8,Snack,scooter,19.95,clear sky,Very High,18.99,55.77
77B5,4.8,Buffet,motorcycle,21.29,broken clouds,Low,5.78,22.68
75DC,4.0,Drinks,motorcycle,18.12,scattered clouds,High,26.21,48.78
