"last_name, first_name","player_id","year","player_age","on_base_plus_slg","woba","xwoba","wobadiff"
"Cruz Jr., Nelson","443558","2022","41","0.650",".292",".320","-0.028"
"Blackmon, Charlie","453568","2022","35","0.733",".317",".301",".016"
"McCutchen, Andrew","457705","2022","35","0.700",".309",".325","-0.016"
"Turner, Justin","457759","2022","37","0.788",".343",".339",".004"
"Andrus, Elvis","462101","2022","33","0.707",".310",".293",".017"
"Santana, Carlos","467793","2022","36","0.692",".308",".352","-0.044"
"Gurriel, Yuli","493329","2022","38","0.648",".285",".271",".014"
"Rojas, Miguel","500743","2022","33","0.606",".268",".293","-0.025"
"Escobar, Eduardo","500871","2022","33","0.725",".311",".314","-0.003"
"Pham, Tommy","502054","2022","34","0.686",".304",".311","-0.007"
"Martinez, J.D.","502110","2022","34","0.789",".343",".349","-0.006"
"Goldschmidt, Paul","502671","2022","34","0.982",".419",".367",".052"
"Altuve, Jose","514888","2022","32","0.920",".397",".354",".043"
"Hernández, César","514917","2022","32","0.629",".283",".290","-0.007"
"Marte, Starling","516782","2022","33","0.815",".355",".336",".019"
"Donaldson, Josh","518626","2022","36","0.682",".302",".299",".003"
"Freeman, Freddie","518692","2022","32","0.918",".393",".403","-0.010"
"LeMahieu, DJ","518934","2022","33","0.734",".329",".344","-0.015"
"Rizzo, Anthony","519203","2022","32","0.818",".352",".349",".003"
"Flores, Wilmer","527038","2022","30","0.710",".312",".310",".002"
"Ozuna, Marcell","542303","2022","31","0.687",".298",".337","-0.039"
"Aguilar, Jesús","542583","2022","32","0.660",".288",".298","-0.010"
"Cron, C.J.","543068","2022","32","0.783",".335",".320",".015"
"Semien, Marcus","543760","2022","31","0.733",".317",".306",".011"
"Springer III, George","543807","2022","32","0.814",".352",".342",".010"
"Grichuk, Randal","545341","2022","30","0.724",".315",".281",".034"
"Abreu, José","547989","2022","35","0.824",".361",".373","-0.012"
"Suárez, Eugenio","553993","2022","30","0.791",".344",".339",".005"
"Urshela, Gio","570482","2022","30","0.767",".332",".323",".009"
"Schoop, Jonathan","570731","2022","30","0.561",".245",".268","-0.023"
"Arenado, Nolan","571448","2022","31","0.891",".381",".339",".042"
"Farmer, Kyle","571657","2022","31","0.701",".309",".311","-0.002"
"Muncy, Max","571970","2022","31","0.713",".318",".339","-0.021"
"Pollock, AJ","572041","2022","34","0.681",".297",".317","-0.020"
"Voit III, Luke","572228","2022","31","0.710",".311",".322","-0.011"
"Walker, Christian","572233","2022","31","0.804",".346",".359","-0.013"
"Yastrzemski, Mike","573262","2022","31","0.697",".307",".314","-0.007"
"Canha, Mark","592192","2022","33","0.770",".343",".323",".020"
"Castellanos, Nick","592206","2022","30","0.694",".304",".302",".002"
"Drury, Brandon","592273","2022","29","0.812",".350",".316",".034"
"Judge, Aaron","592450","2022","30","1.111",".458",".463","-0.005"
"Machado, Manny","592518","2022","29","0.897",".382",".341",".041"
"Realmuto, J.T.","592663","2022","31","0.820",".354",".351",".003"
"Renfroe, Hunter","592669","2022","30","0.807",".347",".323",".024"
"Yelich, Christian","592885","2022","30","0.738",".328",".339","-0.011"
"Merrifield, Whit","593160","2022","33","0.673",".294",".288",".006"
"Bogaerts, Xander","593428","2022","29","0.833",".363",".323",".040"
"Profar, Jurickson","595777","2022","29","0.722",".320",".315",".005"
"Báez, Javier","595879","2022","29","0.671",".291",".281",".010"
"Lindor, Francisco","596019","2022","28","0.788",".342",".331",".011"
"Bell, Josh","605137","2022","29","0.784",".344",".349","-0.005"
"Betts, Mookie","605141","2022","29","0.873",".373",".344",".029"
"Hernández, Teoscar","606192","2022","29","0.807",".348",".351","-0.003"
"Marte, Ketel","606466","2022","28","0.728",".317",".315",".002"
"Nimmo, Brandon","607043","2022","29","0.800",".353",".338",".015"
"Turner, Trea","607208","2022","29","0.809",".350",".335",".015"
"Ramírez, José","608070","2022","29","0.869",".363",".320",".043"
"Bregman, Alex","608324","2022","28","0.820",".358",".350",".008"
"Seager, Corey","608369","2022","28","0.772",".331",".372","-0.041"
"Winker, Jesse","608385","2022","28","0.688",".313",".345","-0.032"
"Swanson, Dansby","621020","2022","28","0.776",".337",".337",".000"
"Correa, Carlos","621043","2022","27","0.833",".362",".363","-0.001"
"Ward, Taylor","621493","2022","28","0.833",".362",".361",".001"
"Wisdom, Patrick","621550","2022","30","0.724",".316",".295",".021"
"Olson, Matt","621566","2022","28","0.802",".344",".347","-0.003"
"Mateo, Jorge","622761","2022","27","0.646",".281",".272",".009"
"Santander, Anthony","623993","2022","27","0.773",".336",".352","-0.016"
"Alonso, Pete","624413","2022","27","0.870",".366",".353",".013"
"Frazier, Adam","624428","2022","30","0.612",".274",".297","-0.023"
"Cronenworth, Jake","630105","2022","28","0.722",".318",".303",".015"
"Bellinger, Cody","641355","2022","26","0.654",".284",".278",".006"
"Crawford, J.P.","641487","2022","27","0.675",".306",".315","-0.009"
"Mancini III, Trey","641820","2022","30","0.710",".312",".327","-0.015"
"McMahon, Ryan","641857","2022","27","0.741",".326",".330","-0.004"
"Tellez, Rowdy","642133","2022","27","0.767",".327",".349","-0.022"
"Rosario, Amed","642708","2022","26","0.715",".311",".310",".001"
"Adames, Willy","642715","2022","26","0.756",".325",".323",".002"
"Estrada, Thairo","642731","2022","26","0.722",".317",".299",".018"
"Benintendi, Andrew","643217","2022","27","0.772",".342",".334",".008"
"Kemp, Tony","643393","2022","30","0.641",".287",".267",".020"
"Kiner-Falefa, Isiah","643396","2022","27","0.641",".285",".290","-0.005"
"McNeil, Jeff","643446","2022","30","0.836",".365",".323",".042"
"Devers, Rafael","646240","2022","25","0.879",".373",".361",".012"
"Arraez, Luis","650333","2022","25","0.795",".350",".333",".017"
"Torres, Gleyber","650402","2022","25","0.761",".328",".319",".009"
"Díaz, Yandy","650490","2022","30","0.824",".366",".365",".001"
"Rengifo, Luis","650859","2022","25","0.723",".314",".296",".018"
"Chapman, Matt","656305","2022","29","0.757",".331",".341","-0.010"
"Hoskins, Rhys","656555","2022","29","0.794",".345",".338",".007"
"Mullins II, Cedric","656775","2022","27","0.721",".315",".288",".027"
"Schwarber, Kyle","656941","2022","29","0.827",".355",".375","-0.020"
"Thomas, Lane","657041","2022","26","0.705",".308",".286",".022"
"Verdugo, Alex","657077","2022","26","0.733",".319",".329","-0.010"
