Country,Land area (sq. km),Forest area (% of land area),Urban Population,% of urban population in largest city,% of land area that is agricultural (2021),Average annual precipitations (2020) millimeters,% of total employment that is agricultural (2020),Forest Area(sq km. thousands),Number threatened Mammals,Number threatened Birds,% of total land area that is protected,% of territorial waters that are protected,Energy Production Total (million metric tons of oil equivilent),% of total energy use that is fossil fules,% of total energy use that is alternative and nuclear
Afghanistan,"652,230.00",1.85,"10,946.80",40.7,59,327,46,12,11,16,3.6,..,..,..,..
Albania,"27,400.00",28.79,"1,772.10",28.9,41,"1,485",36.2,8,3,8,18.6,2.8,2,61.4,24.5
Algeria,"2,381,741.00",0.82,"33,575.00",8.5,17,89,10,20,14,15,4.6,0.1,143.2,100,0
American Samoa,200,85.5,38.6,..,15,..,..,0,1,8,15.8,8.7,..,..,..
Andorra,470,34.04,70.1,..,40,..,..,0,2,3,26.9,..,..,..,..
Angola,"1,246,700.00",52.98,"24,229.30",36.9,37,"1,010",55.2,661,18,32,7,0,94.1,48.3,2.5
Antigua and Barbuda,440,18.3,22.8,..,20,"1,030",..,0,2,3,19.9,0.3,..,..,..
Argentina,"2,736,690.00",10.4,"42,696.50",36,43,591,7.3,285,38,52,8.7,11.8,75.3,87.7,5.5
Armenia,"28,470.00",11.53,"1,767.60",61.8,59,562,52.4,3,9,14,24.7,..,0.8,74.6,25.7
Aruba,180,2.33,46.9,..,11,..,..,0,2,2,18.9,0,..,..,..
Australia,"7,692,020.00",17.42,"22,499.30",22.9,47,534,2.8,"1,340",63,52,20.4,44.3,379,89.6,2.2
Austria,"82,520.00",47.29,"5,357.80",36.6,31,"1,110",3.9,39,3,13,29.5,..,12,65.7,12.2
Azerbaijan,"82,650.00",13.83,"5,798.00",41.4,58,447,36.3,11,8,17,10.2,0.4,58.8,98.4,0.6
"Bahamas, The","10,010.00",50.94,342.3,..,1,"1,292",3.1,5,5,10,36.6,7.9,..,..,..
Bahrain,790,0.91,"1,321.20",52.1,10,83,0.9,0,3,7,13,21.1,22.9,99.4,0
Bangladesh,"130,170.00",14.47,"67,979.80",33.1,77,"2,666",38.1,19,37,36,4.6,5.4,29.5,73.8,0.2
Barbados,430,14.65,88.2,..,23,"1,422",2.8,0,3,4,1.3,0,..,..,..
Belarus,"202,950.00",43.27,"7,412.50",27.6,40,618,10.9,88,4,9,13.8,..,3.7,92.4,0.1
Belgium,"30,280.00",22.76,"11,470.00",18.4,45,847,0.9,7,2,8,15.6,38.1,10.5,75.9,15.1
Belize,"22,810.00",55.5,188,..,8,"1,705",17.3,13,10,6,37.5,11,..,..,..
Benin,"112,760.00",27.36,"6,614.20",18,35,"1,039",29.4,31,13,12,29.6,0,2.3,36.7,0
Bermuda,54,18.52,63.6,..,6,..,..,0,4,3,2.1,0,..,..,..
Bhutan,"38,140.00",71.5,341.8,..,13,"2,200",49.9,27,25,21,49.7,..,..,..,..
Bolivia,"1,083,300.00",46.73,"8,658.30",22,35,"1,146",30,506,21,55,30.9,..,23.2,84.2,2
Bosnia and Herzegovina,"51,200.00",42.73,"1,611.60",21.4,44,"1,028",12.2,22,4,7,4.1,0,6,77.5,4.3
Botswana,"566,730.00",26.71,"1,899.70",..,46,416,19.4,151,11,16,29.1,..,1.5,74.7,0
Brazil,"8,358,140.00",59.27,"188,517.70",11.9,29,"1,761",9.3,"4,954",80,175,30.3,26.8,267.2,59.1,10.8
Brunei Darussalam,"5,270.00",72.11,354.1,..,3,"2,722",1.3,4,33,31,46.9,0.2,16.3,100,0
Bulgaria,"108,560.00",35.98,"4,936.90",26.1,46,608,6.6,39,8,17,41,8.1,11.4,71,25.8
Burkina Faso,"273,600.00",22.54,"7,227.70",42.3,47,748,74.8,62,9,12,16.4,..,..,..,..
Burundi,"25,680.00",10.89,"1,858.30",61.3,82,"1,274",85.3,3,14,15,7.6,..,..,..,..
Cabo Verde,"4,030.00",11.42,400.6,..,20,228,10.7,0,4,7,2.9,0,..,..,..
Cambodia,"176,520.00",44.83,"4,211.10",52.5,35,"1,904",36.9,79,39,31,39.7,1.4,4.3,30.6,3.3
Cameroon,"472,710.00",42.91,"16,395.00",26.5,21,"1,604",43.1,203,46,29,11,10.9,9.8,38.3,4.6
Canada,"8,788,700.00",39.47,"31,833.50",19.8,6,537,1.6,"3,469",18,24,12.7,9.1,470.1,74.1,19.8
Cayman Islands,240,52.75,68.7,..,11,..,..,0,1,3,10.8,0.1,..,..,..
Central African Republic,"622,980.00",35.75,"2,405.70",38.8,8,"1,343",71.3,223,16,16,18.1,..,..,..,..
Chad,"1,259,200.00",3.34,"4,264.80",35.9,40,322,69.8,42,16,16,21,..,..,..,..
Channel Islands,198,5.15,54.1,..,43,..,2.4,0,..,..,..,..,..,..,..
Chile,"743,532.00",24.66,"17,234.00",39.8,14,"1,522",7.2,183,19,35,21,41.4,12.5,74.6,5.7
China,"9,388,210.00",23.63,"897,578.40",3.2,55,645,23.6,"2,219",73,96,15.6,5.5,"2,593.10",87.7,5.1
Colombia,"1,109,500.00",53.13,"42,562.60",26.7,39,"3,240",16.7,589,58,126,16.4,17.1,127.2,76.7,9.2
Comoros,"1,861.00",17.45,249.9,..,71,900,35.8,0,5,14,33.8,0.4,..,..,..
"Congo, Dem. Rep.","2,267,050.00",55.16,"46,373.40",33.7,15,"1,543",56.9,"1,251",32,42,13.9,0.2,28.2,5.4,2.4
"Congo, Rep.","341,500.00",64.22,"4,103.80",62.2,31,"1,646",33,219,15,7,36.8,3,15.7,40.5,1.4
Costa Rica,"51,060.00",59.76,"4,250.50",33.9,35,"2,926",16.5,31,11,27,26.6,29,2.5,49.9,14.2
Cote d'Ivoire,"318,000.00",8.57,"14,829.60",37.2,74,"1,348",46.2,27,31,25,23,0.1,12.9,26.5,0.8
Croatia,"55,960.00",34.7,"2,244.70",30.5,26,"1,113",6.5,19,9,14,38.5,9,4.4,70.7,11.9
Cuba,"103,800.00",31.23,"8,678.30",24.7,62,"1,335",17.8,32,10,19,16.2,3.9,5.9,85.6,0.1
Curacao,444,0.16,133.5,..,..,..,..,0,3,2,15.7,0,0,..,..
Cyprus,"9,240.00",18.67,837.4,..,13,498,2.7,2,6,7,38.7,8.6,0.1,92.9,5.2
Czechia,"77,186.83",34.71,"7,937.60",16.6,46,677,2.6,27,3,9,22.2,..,27.8,77.7,19
Denmark,"40,000.00",15.73,"5,216.30",26.3,65,703,2.1,6,2,9,17,18.3,15.7,64.9,11.7
Djibouti,"23,180.00",0.25,878.5,67.3,74,220,1.2,0,11,12,1.6,0.2,..,..,..
Dominica,750,63.83,52.2,..,33,"2,083",..,0,3,7,22,0,..,..,..
Dominican Republic,"47,531.00",45.28,"9,415.10",36.7,51,"1,410",9,22,7,17,26.4,17.3,1,86.6,2.3
Ecuador,"248,360.00",50.06,"11,623.20",26.6,22,"2,274",31.8,124,47,106,23.4,19.1,30.4,86.9,6.2
"Egypt, Arab Rep.","995,450.00",0.05,"47,689.10",45.6,4,18,20.4,0,18,14,13.1,5,80.4,97.9,1.5
El Salvador,"20,720.00",27.96,"4,737.50",23.4,58,"1,784",15.8,6,6,7,8.6,0.7,2.1,48.4,6.3
Equatorial Guinea,"28,050.00",86.99,"1,239.60",36.7,4,"2,156",56.1,24,23,6,19.3,0.2,..,..,..
Eritrea,"121,040.83",8.69,"1,570.30",65.9,63,384,64.7,11,15,21,0,0,0.6,23.1,0
Estonia,"42,750.00",57.04,938.9,48.1,23,626,3,24,1,9,21.4,18.8,5.6,13.1,0.9
Eswatini,"17,200.00",29,295.3,..,69,788,13.6,5,9,13,4.3,..,..,..,..
Ethiopia,"1,128,571.27",15.06,"27,959.10",18.7,34,848,64.6,170,34,35,17,..,45.5,6.6,1.2
Faroe Islands,"1,370.00",0.06,22.7,..,70,..,..,0,4,6,2.3,0,..,..,..
Fiji,"18,270.00",62.76,541.4,..,17,"2,592",29.7,11,7,14,5.4,0.9,..,..,..
Finland,"303,947.70",73.73,"4,760.50",27.9,7,536,3.7,224,2,11,13.4,12,17.7,40.2,25.4
France,"547,557.00",31.66,"55,402.70",20.1,52,867,2.4,173,9,16,28.4,49.8,137.3,46.5,49.1
French Polynesia,"3,471.00",43.06,190.4,..,14,..,2.2,1,0,35,2,0,..,..,..
Gabon,"257,670.00",91.27,"2,167.70",39.5,8,"1,831",30.2,235,18,7,22.4,28.8,15.9,22.8,1.2
"Gambia, The","10,120.00",23.41,"1,727.80",27.2,63,836,48.5,2,10,14,7.7,0.6,..,..,..
Georgia,"69,490.00",40.62,"2,238.50",48.3,34,"1,026",41.1,28,9,14,11.1,0.7,1.4,72.2,15.7
Germany,"349,390.00",32.68,"65,067.50",5.5,47,700,1.2,114,5,11,37.6,45.5,120.4,78.9,12.9
Ghana,"227,533.00",35.13,"19,621.90",18.5,55,"1,187",40.5,80,21,23,14.8,0.1,9.8,52.5,5.9
Greece,"128,900.00",30.27,"8,378.80",37.6,46,652,10.3,39,10,17,35.2,4.5,8.5,82.6,6.2
Greenland,"410,450.00",0,49.7,..,1,..,..,0,9,6,41.1,4.5,..,..,..
Grenada,340,52.06,46.2,..,24,"2,350",..,0,3,2,9.5,0.1,..,..,..
Guam,540,51.85,163.3,..,30,..,0.2,0,3,14,4.5,0,..,..,..
Guatemala,"107,160.00",32.81,"9,141.70",33.2,43,"1,996",30.5,35,15,17,20.1,0.8,8.9,37.4,2.6
Guinea,"245,720.00",25.02,"5,220.50",39.2,60,"1,651",61.2,61,30,20,37.6,0.5,..,..,..
Guinea-Bissau,"28,120.00",70.11,948.4,67.8,29,"1,577",51.2,20,14,12,27.1,9,..,..,..
Guyana,"196,850.00",93.5,218.5,..,5,"2,387",12.1,184,11,16,8.5,0,..,..,..
Haiti,"27,560.00",12.49,"6,814.30",42.8,65,"1,440",46.3,3,4,17,8.6,1.5,3.2,22,0.1
Honduras,"111,890.00",56.65,"6,218.00",24.6,32,"1,976",25.2,63,8,14,23.5,4.6,2.5,52.5,3.3
"Hong Kong SAR, China","1,050.00",..,"7,346.10",100,4,..,0.2,..,4,21,41.9,0,0.2,93.2,0.1
Hungary,"91,260.00",22.48,"6,996.20",25.4,55,589,4.8,21,3,13,22.6,..,10.1,69.5,18.5
Iceland,"100,830.00",0.52,359.1,..,19,"1,940",4,1,6,7,20.8,0.4,5.1,11.3,37.5
India,"2,973,190.00",24.36,"508,368.40",6.3,60,"1,083",44.7,724,93,93,7.5,0.2,541.8,73.6,2.7
Indonesia,"1,892,555.47",48.36,"159,608.90",6.9,34,"2,702",29.6,915,191,160,12.2,3.1,458,66.1,0.8
"Iran, Islamic Rep.","1,622,500.00",6.64,"68,013.00",13.8,29,228,16.7,108,18,28,8.6,0.8,316.2,99,0.9
Iraq,"434,128.00",1.9,"31,749.80",23.7,22,216,8.7,8,13,17,1.5,0,163,96,0.3
Ireland,"68,890.00",11.41,"3,290.80",38.2,63,"1,118",4.5,8,5,9,14.4,2.3,1.9,85.3,4.8
Isle of Man,570,6.07,45,..,69,..,..,0,0,0,5.5,0,..,..,..
Israel,"21,640.00",6.47,"8,865.80",49,30,435,0.9,1,15,18,24.5,0,8.2,97.4,5.2
Italy,"295,717.00",32.53,"42,234.90",10.2,42,832,4,96,8,17,21.6,10.6,35.5,79.9,6.3
Jamaica,"10,830.00",55.47,"1,611.80",36.9,39,"2,051",15.9,6,7,11,20,0.8,0.5,81,0.6
Japan,"364,500.00",68.41,"115,058.70",32.4,13,"1,668",3.1,249,29,49,29.7,13.9,30.4,93,3.1
Jordan,"88,794.00",1.1,"10,363.50",21.3,12,111,3.3,1,13,14,4.5,1,0.3,97.6,1.9
