ID Number,Name,Host ID Number,Host Name,Neighbourhood,Latitude,Longitude,Room Type,Price,Number of Days Available per Year
7903,"Colorful, modern 2 BR apt shared with host",14169,Stacy,Agassiz,42.39031,-71.09361,Private room,118,10
8521,SunsplashedSerenity walk to Harvard & Fresh Pond,306681,Janet,West Cambridge,42.38258,-71.13646,Entire home/apt,300,258
8789,Curved Glass Studio/1bd facing Park,26988,Anne,East Cambridge,42.35867,-71.06307,Entire home/apt,110,279
10813,"Back Bay Apt-blocks to subway, Newbury St, The Pru",38997,Michelle,Area 2/MIT,42.35061,-71.08787,Entire home/apt,135,355
10986,North End (Waterfront area)  CLOSE TO MGH & SUBWAY,38997,Michelle,East Cambridge,42.36377,-71.05206,Entire home/apt,135,356
11169,Lovely Studio Room: Available for long weekends,40965,Judy,North Cambridge,42.3963,-71.13135,Private room,116,331
19581,"Furnished suite, Windsor",74249,Marc And Patty,The Port,42.36258,-71.09603,Private room,195,229
27498,Furnished suite 2 @ the Windsor,74249,Marc And Patty,The Port,42.36254,-71.09698,Private room,265,251
29765,"Luxury suite, Moroccan furnishings",128280,Elizabeth,East Cambridge,42.37754,-71.06642,Entire home/apt,226,28
34452,"walk to Harvard Square, Cambridge",48805,Harris,Agassiz,42.38651,-71.11023,Private room,95,256
45987,Garden Studio,205107,Atef,East Cambridge,42.37424,-71.06081,Entire home/apt,160,56
46534,Victorian Elegance on Union Square's Prospect Hill,208115,Bill,Wellington-Harrington,42.38296,-71.09332,Private room,78,176
65400,"Peaceful, comfy, sanctuary in Bungalow near Tufts",319650,Lisa,North Cambridge,42.41403,-71.11637,Private room,139,359
67774,Corner 1 bed facing Golden Dome,26988,Anne,East Cambridge,42.35689,-71.06206,Entire home/apt,105,132
71017,Acadia Rm- near Tufts and Davis Sq.,361955,Nanan,North Cambridge,42.39869,-71.1034,Private room,76,264
106474,large furnished suite in Central sq,74249,Marc And Patty,The Port,42.36274,-71.09768,Private room,295,272
108898,"""The Treehouse"" :   Elegant living near Harvard",306681,Janet,West Cambridge,42.38227,-71.13643,Entire home/apt,200,258
151158,Lovely Sky View Boston&Cambridge,727944,Emily,Agassiz,42.38226,-71.0995,Entire home/apt,195,133
154505,SHRINE OF THE RED DIAMOND (Trinitas - “DP”),742815,“Jon”,East Cambridge,42.38487,-71.08643,Shared room,10,153
184893,Beautiful 1 bedroom apt cld sleep 4,887148,Dawn,East Cambridge,42.37823,-71.06778,Private room,257,89
199317,EXCELLENT 1 BED + DEN HARVARD Square,87398,Ari,Neighborhood Nine,42.37975,-71.12262,Entire home/apt,236,365
219956,SHRINE OF THE RED DIAMOND (Hózhóogo - “DP”),742815,“Jon”,East Cambridge,42.38589,-71.08586,Shared room,10,153
220676,Private room off the Freedom Trail.,1144302,Howard,East Cambridge,42.36614,-71.05226,Private room,172,11
222081,SHRINE OF THE RED DIAMOND (توحيد - “DP”),742815,“Jon”,East Cambridge,42.38481,-71.08436,Shared room,10,153
235397,Spacious Condo Steps from Davis Sq.,844107,Sasha,North Cambridge,42.39438,-71.11239,Entire home/apt,175,43
281264,Harvard's Historic Dollhouse/pvt deck in Union Sq,1466207,Elizabeth,Agassiz,42.38195,-71.09913,Private room,157,147
370390,Your Room - 10 Min T Ride To Boston Center,1866924,David,East Cambridge,42.38333,-71.08296,Private room,46,234
394462,Your Pad - 10 Min T Ride To Boston Center,1866924,David,East Cambridge,42.38319,-71.08297,Private room,46,276
405144,Apartment in Harvard's Backyard,2018955,Nicole,Riverside,42.3691,-71.11237,Entire home/apt,165,199
445407,East Cambridge Apartment,2212429,Jimmy,Wellington-Harrington,42.37147,-71.08939,Entire home/apt,300,1
456429,Elegant Airy Comfort. Workspace. Private Entrance.,2244099,Rebecca & Richard,North Cambridge,42.39475,-71.12548,Entire home/apt,521,28
