Film,Year,Script Type,Primary Genre,Genres,Distributor,Rotten Tomatoes Audience ,Rotten Tomatoes Critics,Metacritic Critics,Average Critics,Metacritic Audience,Opening Weekend ($),Opening Weekend ($million),Domestic Gross,Domestic Gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million),Budget ($million),Budget Recovered (Percentage),Budget Recovered Opening Weekend (Percentage)
(500) Days of Summer ,2009,original screenplay,nan,"comedy, romance",nan,81,87,76,82,79,3800000,3.8,32390000,32.39,28.33,28330000,60720000,60.72,7.5,809.6,50.67
10 Cloverfield Lane,2016,sequel,nan,thriller,nan,79,90,76,83,77,24727437,24.73,72082999,72.08,36.2,36203423,108286422,108.29,15,722,164.85
12 Rounds ,2009,original screenplay,nan,"action, crime, thriller",nan,52,30,38,34,49,5300000,5.3,12230000,12.23,5.05,5050000,17280000,17.28,20,86.4,26.5
12 Strong,2018,adaptation,nan,drama,nan,64,53,54,54,63,15815025,15.8,45500164,46,22,21533253,67033417,670,35,191.52,45.19
12 Years a Slave,2013,adaptation,nan,"Biography, Drama, History",nan,90,96,97,97,80,923715,0.92,56671993,56.67,131.06,131061209,187733202,188,20,938.67,4.62
127 Hours,2010,adaptation,nan,"adventure, biography",nan,84,93,82,88,79,2130000,2.13,18330000,18.33,42.4,42400000,60730000,60.73,18,337.39,11.83
13 Hours: The Secret Soldiers of Benghazi,2016,based on a true story,nan,Drama,nan,83,50,48,49,68,16194738,16.19,52853219,52.85,16.56,16558151,69411370,69.41,50,139,32.39
17 Again ,2009,original screenplay,nan,"comedy, romance",nan,70,55,48,52,60,23700000,23.7,64200000,64.2,72.1,72100000,136300000,136.3,20,681.5,118.5
1917,2020,original screenplay,drama,nan,Universal Pictures,88,89,78,83,83,36500000,36.5,159227644,159.2,229.9,229912796,389140440,389.1,100,389.14,36.5
2 Guns,2013,adaptation,nan,"Action, Drama, Thriller, Comedy, Crime ",nan,67,64,55,60,66,27059130,27.06,75612460,75.61,56.33,56327951,131940411,132,61,216.3,44.36
2012,2009,original screenplay,nan,"action, adventure, sci-fi",nan,63,39,49,44,54,65300000,65.3,166120000,166.12,603.57,603570000,769690000,769.69,200,384.85,32.65
21 Bridges,2019,original screenplay,nan,thriller,STX Entertainment,91,50,51,51,62,9261268,9.3,20676747,20.7,2.7,2730000,23406747,23.4,33,70.93,28.18
21 Jump Street,2012,adaptation,nan,"action, comedy, crime",nan,82,85,69,77,75,36302612,36.3,138447667,138.45,63.14,63137661,201585328,202,42,479.97,86.43
21 and Over,2013,original screenplay,nan,Comedy,nan,47,27,34,31,54,8754168,8.75,25682380,25.68,22.38,22383292,48383672,48,13,372.18,67.34
22 Jump Street,2014,adaptation,nan,"action, comedy, crime",nan,78,85,71,78,74,57071445,57.07,191719337,191.72,139.61,139614539,331333876,331,50,662.67,114.14
3 Days to Kill,2014,original screenplayÃ,nan,"action, drama, thriller, crimeÃ",nan,44,28,40,34,57,12242218,12.24,30697999,30.7,21.9,21900000,52597999,53,28,187.85,43.72
30 Days of Night,2007,adaptation,horror,horror,nan,56,50,53,52,65,15951902,15.95,39568996,39.57,35.53,35526091,75095087,75,32,234.67,49.85
30 Days of Night,2007,adaptation,horror,horror,nan,56,50,53,52,65,15951902,15.95,39568996,39.57,35.53,35526091,75095087,75,32,234.67,49.85
30 Minutes or Less,2011,original screenplay,nan,"action, comedy, crime",nan,48,43,49,46,56,13330000,13.33,37050000,37.05,3.49,3490000,40540000,40.54,28,144.79,47.61
300,2007,adaptation,action,"period, action",nan,89,60,51,56,71,70885301,70.89,210614939,210.61,245.45,245453242,456068181,456,65,701.64,109.05
300,2007,adaptation,action,"period, action",nan,89,60,51,56,71,70885301,70.89,210614939,210.61,245.45,245453242,456068181,456,65,701.64,109.05
300: Rise of An Empire,2014,sequel,nan,"action, drama, fantasy, war",nan,53,42,48,45,61,45038460,45.04,106580051,106.58,231,231000000,337580051,338,110,306.89,40.94
3:10 to Yuma,2007,remake,western,western,nan,86,88,76,82,73,14035033,14.04,53606916,53.61,16.17,16173815,69780731,70,50,139.56,28.07
3:10 to Yuma,2007,remake,western,western,nan,86,88,76,82,73,14035033,14.04,53606916,53.61,16.17,16173815,69780731,70,50,139.56,28.07
42,2013,based on a true story,nan,"Biography, Drama, Sport",nan,86,79,62,71,74,27487144,27.49,95020213,95.02,0,0,95020213,95,40,237.55,68.72
47 Meters Down,2017,original screenplay,nan,"horror, thriller",nan,37,54,52,53,46,11205561,11.21,44307192,44.31,0,0,44307192,44.31,5.5,805.59,203.74
47 Meters Down: Uncaged,2019,sequel,nan,thriller,Entertainment Studios,68,42,43,43,55,8427265,8.4,22260900,22.3,17.6,17649616,39910516,39.9,12,332.59,70
47 Ronin,2013,original screenplay,nan,"Action, Adventure, Drama, Fantasy",nan,48,14,28,21,63,9910310,9.91,38362475,38.36,112.6,112600000,150962475,151,175,86.26,5.66
50/50,2011,based on a true story,nan,comedy,nan,93,93,72,83,81,8640000,8.64,35010000,35.01,4.17,4170000,39180000,39.18,8,489.75,108
9,2009,adaptation,nan,"animation, action, adventure",nan,58,57,60,59,67,10700000,10.7,31740000,31.74,16.67,16670000,48410000,48.41,30,161.37,35.67
A Bad Moms Christmas,2017,sequel,nan,comedy,nan,50,28,42,35,48,16759161,16.76,69585639,69.59,45.7,45700000,115285639,115.29,28,411.73,59.85
A Beautiful Day in the Neighbourhood,2019,original screenplay,nan,drama,Sony Pictures,91,95,80,88,71,13251238,13.3,37144754,37.1,0,0,37144754,37.1,25,148.58,53.2
A Christmas Carol,2009,adaptation,nan,"animation, comedy, family",nan,72,52,55,54,73,30100000,30.1,137900000,137.9,187.43,187430000,325330000,325.33,200,162.67,15.05
A Cure for Wellness,2017,original screenplay,nan,horror,nan,41,41,47,44,70,4356941,4.36,8106986,8.11,18.45,18452571,26559557,26.56,40,66.4,10.89
A Dangerous Method,2011,adaptation,nan,"biography, thriller",nan,89,79,76,78,62,170000,0.17,5700000,5.7,21.76,21760000,27460000,27.46,20,137.3,0.85
A Dog's Purpose,2017,adaptation,nan,"comedy, drama",nan,73,33,43,38,59,18222810,18.22,64321890,64.32,131.88,131878234,196200124,196.2,22,891.82,82.83
A Dog's Way Home,2019,adaptation,nan,"adventure, drama, family",Sony Pictures,73,62,50,56,51,11251263,11.3,42004346,42,33.1,33054369,75058715,75.1,18,416.99,62.78
A DogÃ¢ÂÂs Journey,2019,adaptation,nan,drama,Universal Pictures,92,50,43,47,70,8030085,8,22546590,22.5,49.2,49200000,71746590,71.7,22,326.12,36.36
A Good Day to Die Hard,2013,sequel,nan,"Action, Thriller, Crime",nan,41,14,28,21,47,24834845,24.83,67349198,67.35,237.3,237304984,304654182,305,92,331.15,26.99
A Haunted House,2013,original screenplay,nan,"Horror, Comedy",nan,51,10,20,15,51,18101682,18.1,40041683,40.04,20.1,20100000,60141683,60,3,2405.67,724.07
A Hidden Life,2019,based on a true story,nan,"biography, drama, romance",Fox Searchlight,71,83,79,81,88,50383,0.1,1015637,1,1,1015637,2031274,2,8,25.39,1.25
A Madea Family Funeral,2019,original screenplay,nan,"comedy, drama",Lionsgate,31,11,39,25,40,27062332,27.1,73257045,73.3,1.5,1524954,74781999,74.8,20,373.91,135.5
A Million Ways to Die in the West,2014,original screenplayÃ,nan,"comedy, western",nan,40,33,44,39,51,16797385,16.8,43139300,43.14,43.27,43268783,86408083,86,40,216.02,41.99
A Nightmare on Elm Street,2010,remake / reboot,nan,"horror, mystery, thriller",nan,40,13,35,24,53,32900000,32.9,63080000,63.08,52.59,52590000,115670000,115.67,35,330.49,94
A Perfect Getaway ,2009,original screenplay,nan,"adventure, mystery, thriller",nan,50,61,63,62,63,5900000,5.9,15500000,15.5,7.33,7330000,22830000,22.83,14,163.07,42.14
A Quiet Place,2018,original screenplay,nan,horror,nan,83,95,82,89,75,50203562,50.2,188024361,188,145,144559086,332583447,3326,17,1956.37,295.32
A Serious Man ,2009,original screenplay,nan,comedy,nan,64,89,79,84,66,250000,0.25,9230000,9.23,22.2,22200000,31430000,31.43,7,449,3.57
A Star is Born,2018,remake,nan,drama,nan,81,90,88,89,86,42908051,42.9,202110867,202,188,188000000,390110867,3901,36,1083.64,119.19
A United Kingdom,2017,based on a true story,nan,drama,nan,78,84,65,75,65,66510,0.07,3902185,3.9,9.92,9916954,13819139,13.82,14,98.71,0.48
A Very Harold and Kumar 3D Christmas,2011,sequel,nan,comedy,nan,71,72,61,67,66,12950000,12.95,35060000,35.06,0.33,330000,35390000,35.39,19,186.26,68.16
A Walk Among the Tombstones,2014,adaptation,nan,"action, drama, mystery, thriller",nan,54,66,57,62,66,12758780,12.76,26307600,26.31,26.87,26874000,53181600,53,28,189.93,45.57
A Walk in the Woods,2015,adaptation,nan,comedy,nan,57,46,51,49,53,8246267,8.25,29216212,29.22,5,5000000,34216212,34,8,427.7,103.08
A Wrinkle in Time,2018,adaptation,nan,adventure,nan,29,42,53,48,29,33123609,33.1,100478608,100,32,32197256,132675864,1327,125,106.14,26.5
Abduction,2011,original screenplay,nan,"action, mystery, thriller",nan,46,4,25,15,46,10930000,10.93,28090000,28.09,54,54000000,82090000,82.09,35,234.54,31.23
Abominable,2019,original screenplay,nan,adventure,Universal Pictures,95,80,61,71,57,20612100,20.6,60196485,60.2,116,116000000,176196485,176.2,75,234.93,27.47
About Last Night (2014),2014,adaptation,nan,"drama, comedy, romance",nan,66,68,62,65,61,25649011,25.65,48637684,48.64,0.37,365000,49002684,49,12.5,392.02,205.19
About Time,2013,original screenplay,nan,"Sci-Fi, Drama, Fantasy, Comedy, Romance",nan,81,69,55,62,82,1076250,1.08,15322921,15.32,71.78,71777528,87100449,87,12,725.84,8.97
Abraham Lincoln: Vampire Hunter,2012,adaptation,nan,"action, fantasy, horror",nan,51,35,42,39,59,16306974,16.31,37519139,37.52,78.95,78952441,116471580,116,69,168.8,23.63
Absolutely Fabulous: The Movie,2016,adaptation,nan,Comedy,nan,48,60,59,59.5,44,1861118,1.86,4761241,4.76,32.51,32508768,37270009,37.27,37,101,5.03
Across the Universe,2007,original screenplay,musical,musical,nan,82,54,56,55,73,3824988,3.82,24343673,24.34,5.02,5023470,29367143,29,45,65.26,8.5
Across the Universe,2007,original screenplay,musical,musical,nan,82,54,56,55,73,3824988,3.82,24343673,24.34,5.02,5023470,29367143,29,45,65.26,8.5
Ad Astra,2019,original screenplay,nan,"thriller, sci-fi",20th Century Fox,40,84,80,82,62,19001398,19,50175123,50.2,77,76987552,127162675,127.2,90,141.29,21.11
Adrift,2018,based on a true story,nan,drama,nan,67,73,56,65,63,11603039,11.6,31445011,31,22,21900001,53345012,533,35,152.41,33.15
Adventureland ,2009,original screenplay,nan,"comedy, romance",nan,56,89,76,83,69,5700000,5.7,16040000,16.04,1.12,1120000,17160000,17.16,9.8,175.1,58.16
After,2019,original screenplay,nan,"drama, romance",Aviron Pictures,65,18,30,24,45,6002349,6,12138565,12.1,45.8,45788285,57926850,57.9,14,413.76,42.86
After Earth,2013,original screenplay,nan,"Action, Adventure, Sci-Fi, Mystery",nan,37,11,33,22,41,27520040,27.52,60522097,60.52,183.32,183321030,243843127,244,130,187.57,21.17
After We Collided,2020,adaptation,drama,nan,Open Road Films,93,12,14,14,48,1199425,1.2,2386483,2.4,40.9,40919909,43306392,43.3,14,309.33,8.57
Aladdin,2019,remake,nan,adventure,Walt Disney Studios,94,57,53,55,67,91500929,91.5,355559216,355.6,695.1,695134737,1050693953,1050.7,183,574.15,50
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,adaptation,nan,"comedy, family",nan,60,62,54,58,54,18360230,18.36,66954149,66.95,33.7,33700000,100654000,101,28,359.48,65.57
Alice Through the Looking Glass,2016,adaptation,nan,Adventure,nan,51,30,34,32,60,26858726,26.86,77042381,77.04,222.34,222335940,299378321,299.38,170,176,15.8
Alice in Wonderland,2010,adaptation,nan,"adventure, family, fantasy",nan,72,52,53,53,55,116100000,116.1,334190000,334.19,691.28,691280000,1025470000,1025.47,200,512.74,58.05
Alien vs. Predator - Requiem,2007,sequel,sci-fi,"sci-fi, horror",nan,31,14,29,22,45,10059425,10.06,41797066,41.8,87.09,87086650,128883716,129,40,322.21,25.15
Alien vs. Predator - Requiem,2007,sequel,sci-fi,"sci-fi, horror",nan,31,14,29,22,45,10059425,10.06,41797066,41.8,87.09,87086650,128883716,129,40,322.21,25.15
Alien: Covenant,2017,sequel,nan,"sci-fi, horror",nan,56,68,65,67,60,36160621,36.16,74262031,74.26,166.48,166483733,240745764,240.75,97,248.19,37.28
