Ranking Month,Ranking Day,Ranking Year,Rank,Last Week Rank,Title,Type,Netflix Exclusive,Release Month,Release Day,Release Year,Days In Top 10,Viewership Score
4,1,2020,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,3,20,2020,9,90
4,1,2020,2,-,Ozark,TV Show,Yes,7,21,2017,5,45
4,1,2020,3,2,All American,TV Show,,3,28,2019,9,76
4,1,2020,4,-,Blood Father,Movie,,3,26,2020,5,30
4,1,2020,5,4,The Platform,Movie,Yes,3,20,2020,9,55
4,1,2020,6,-,Car Masters: Rust to Riches,TV Show,Yes,9,14,2018,4,14
4,1,2020,7,-,Unorthodox,TV Show,Yes,3,26,2020,2,5
4,1,2020,8,5,Love is Blind,TV Show,Yes,2,13,2020,9,40
4,1,2020,9,-,Badland,Movie,,3,26,2020,4,11
4,1,2020,10,-,Uncorked,Movie,Yes,3,27,2020,4,15
4,2,2020,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,3,20,2020,10,100
4,2,2020,2,-,Ozark,TV Show,Yes,7,21,2017,6,54
4,2,2020,3,2,All American,TV Show,,3,28,2019,10,84
4,2,2020,4,-,Nailed It!,TV Show,Yes,3,9,2018,1,7
4,2,2020,5,-,How to Fix a Drug Scandal,TV Show,Yes,4,1,2020,1,6
4,2,2020,6,-,Blood Father,Movie,,3,26,2020,6,35
4,2,2020,7,-,The Roommate,Movie,,4,1,2020,1,4
4,2,2020,8,-,Unorthodox,TV Show,Yes,3,26,2020,3,8
4,2,2020,9,4,The Platform,Movie,Yes,3,20,2020,10,57
4,2,2020,10,-,Car Masters: Rust to Riches,TV Show,Yes,9,14,2018,5,15
4,3,2020,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,3,20,2020,11,110
4,3,2020,2,-,Ozark,TV Show,Yes,7,21,2017,7,63
4,3,2020,3,2,All American,TV Show,,3,28,2019,11,92
4,3,2020,4,-,How to Fix a Drug Scandal,TV Show,Yes,4,1,2020,2,13
4,3,2020,5,-,Nailed It!,TV Show,Yes,3,9,2018,2,13
4,3,2020,6,-,The Roommate,Movie,,4,1,2020,2,9
4,3,2020,7,-,Unorthodox,TV Show,Yes,3,26,2020,4,12
4,3,2020,8,-,The Players Club,Movie,,4,1,2020,1,3
4,3,2020,9,-,Salt,Movie,,4,1,2020,1,2
4,3,2020,10,-,Blood Father,Movie,,3,26,2020,7,36
4,4,2020,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,3,20,2020,12,120
4,4,2020,2,2,Ozark,TV Show,Yes,7,21,2017,8,72
4,4,2020,3,-,Money Heist,TV Show,Yes,12,20,2017,1,8
4,4,2020,4,3,All American,TV Show,,3,28,2019,12,99
4,4,2020,5,-,Coffee & Kareem,Movie,Yes,4,3,2020,1,6
4,4,2020,6,-,How to Fix a Drug Scandal,TV Show,Yes,4,1,2020,3,18
4,4,2020,7,-,The Roommate,Movie,,4,1,2020,3,13
4,4,2020,8,-,Nailed It!,TV Show,Yes,3,9,2018,3,16
4,4,2020,9,-,Unorthodox,TV Show,Yes,3,26,2020,5,14
4,4,2020,10,-,The Players Club,Movie,,4,1,2020,2,4
4,5,2020,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,3,20,2020,13,130
4,5,2020,2,2,Ozark,TV Show,Yes,7,21,2017,9,81
4,5,2020,3,-,Coffee & Kareem,Movie,Yes,4,3,2020,2,14
