State,County,City/Town,Zipcode,Area Type,2022 Population,Unemployment(%),2022 Median Income ($),Cost of Living ($),2016 Crime Rate,Air Quality Index (%),Number of National Parks,Area Covered by State Parks (%),Student to Teacher Ratio Rank,Diversity Rank (Race),Diversity Rank (Gender)
RI,Bristol County,Bristol,2809,21-Suburb: Large,50360,2.67,115787.98,84910.11,0.01,89.94,0,0.0,1706,1369,1599
RI,Kent County,West Greenwich,2817,41-Rural: Fringe,171275,2.97,95529.73,79876.27,0.015,89.94,0,0.0,2513,2552,2561
RI,Newport County,Middletown,2842,21-Suburb: Large,84481,2.88,106276.49,94907.34,0.016,89.94,0,0.0,1808,1607,2133
RI,Washington County,Westerly,2891,22-Suburb: Mid-size,130330,2.84,110523.45,83194.2,0.012,89.94,0,0.0,2333,2193,2545
RI,Providence County,Cranston,2920,21-Suburb: Large,657288,3.61,77648.59,74675.93,0.024,89.94,0,0.0,2953,2993,3068
NH,Hillsborough County,Nashua,3060,13-City: Small,426594,2.65,103199.1,80731.35,0.017,94.99,0,0.0,2809,2956,2969
NH,Merrimack County,Franklin,3235,32-Town: Distant,156020,2.34,95265.84,76343.52,0.013,94.99,0,0.0,2480,2829,2798
NH,Belknap County,New Hampton,3256,42-Rural: Distant,64781,2.59,87885.02,72997.64,0.025,94.99,0,0.0,1672,2219,2295
NH,Cheshire County,Dublin,3444,42-Rural: Distant,77350,2.77,86163.02,72966.77,0.016,94.99,0,0.0,2051,2556,2599
NH,Grafton County,Littleton,3561,33-Town: Remote,91126,2.38,86340.67,73295.66,0.017,94.99,0,0.0,2187,2812,2679
NH,Coos County,Errol,3579,43-Rural: Remote,31504,3.46,64788.62,64681.81,0.015,94.99,0,0.0,1278,2255,2100
NH,Sullivan County,Alstead,3602,41-Rural: Fringe,43958,2.43,80700.31,71213.93,0.013,94.99,0,0.0,1596,2404,2433
NH,Rockingham County,Portsmouth,3801,23-Suburb: Small,319424,2.66,115377.26,82497.55,0.012,94.99,0,0.0,2708,2947,2891
